window_size,proportion
1,0.6311188811188811
2,0.647887323943662
3,0.637478108581436
4,0.6666666666666666
5,0.6397849462365591
6,0.7535211267605634
7,0.7689594356261023
8,0.7842401500938087
9,0.7625231910946196
10,0.7236842105263158
11,0.7514231499051234
12,0.7819548872180451
13,0.7514231499051234
14,0.7810077519379846
15,0.7916666666666666
16,0.7577519379844961
17,0.7421875
18,0.7793240556660039
19,0.7705882352941177
20,0.7043650793650794
21,0.7465618860510805
22,0.7810077519379846
23,0.7816
24,0.7911025145067698
25,0.753968253968254
26,0.7846153846153846
27,0.7514792899408284
28,0.7942307692307692
29,0.7825242718446602
30,0.7879377431906615
31,0.7609561752988048
32,0.7941176470588235
33,0.7631067961165049
34,0.7945736434108527
35,0.7191235059760956
36,0.750996015936255
37,0.7830374753451677
38,0.7760314341846758
39,0.754863813229572
40,0.7906066536203522
41,0.780718336483932
42,0.7676950998185118
43,0.7620889748549323
44,0.7958015267175572
45,0.7976190476190477
46,0.79296875
47,0.7142857142857143
48,0.801980198019802
49,0.7929606625258799
50,0.34801762114537443
